index,gender,age,country of origin,months in europe,months in france,who with in calais,family in europe,european family,dublin applied,feel safe in calais,experienced tear gas or violence by french police
0,Male,16.0,Eritrea,4.0,2.0,With friends,Yes,United Kingdom,"No, I didn't apply","No, I don't feel safe at all",Yes
1,Male,16.0,Eritrea,4.0,2.0,With friends,Yes,United Kingdom,"No, I didn't apply","No, I don't feel safe at all",Yes
2,Male,16.0,Eritrea,7.0,5.0,Alone,Yes,Switzerland United Kingdom,"No, I didn't apply","No, I don't feel safe at all",Yes
3,Male,16.0,Eritrea,24.0,5.0,Alone,Yes,United Kingdom,"No, I didn't apply","No, I don't feel safe at all",Yes
4,Male,16.0,Sudan,9.0,9.0,Alone,Yes,United Kingdom,"Yes, I applied but did not receive any result","No, I don't feel safe at all",Yes
5,Male,16.0,Sudan,9.0,9.0,Alone,Yes,United Kingdom,"Yes, I applied but did not receive any result","No, I don't feel safe at all",Yes
6,Male,16.0,Eritrea,6.0,1.0,Alone,No,,,"No, I don't feel safe at all",Yes
7,Male,17.0,Sudan,4.0,3.0,Alone,No,,,So-so,Yes
8,Male,17.0,Sudan,4.0,3.0,Alone,No,,,So-so,Yes
9,Male,17.0,Sudan,8.0,7.0,With friends,No,,,"No, I don't feel safe at all",Yes
10,Male,17.0,Sudan,8.0,7.0,With friends,No,,,"No, I don't feel safe at all",Yes
11,Male,18.0,Sudan,3.0,3.0,Alone,No,,,"No, I don't feel safe",Yes
12,Male,19.0,Sudan,4.0,4.0,Alone,No,,,"No, I don't feel safe at all",Yes
13,Male,20.0,Sudan,9.0,9.0,Alone,No,,,"No, I don't feel safe",Yes
14,Male,21.0,Sudan,12.0,12.0,Alone,No,,,"No, I don't feel safe",Yes
15,Male,22.0,Sudan,4.0,5.0,Alone,No,,,"No, I don't feel safe",No
16,Male,24.0,Afghanistan,72.0,1.0,Alone,Yes,United Kingdom,"No, I didn't apply","No, I don't feel safe",Yes
17,Male,30.0,Pakistan,15.0,2.0,Alone,No,,,"Yes, I feel perfectly safe",No
18,Male,32.0,Sudan,12.0,14.0,Alone,No,,,"No, I don't feel safe",Yes
19,,,Ethiopia,,,With friends,No,,,So-so,No
20,Male,,Eritrea,8.0,5.0,Alone,No,,,"Yes, I feel perfectly safe",Yes
21,Male,12.0,Afghanistan,10.0,2.0,,Yes,United Kingdom,"No, I didn't apply","Yes, I feel perfectly safe",Yes
22,Male,13.0,Ethiopia (Oromo),18.0,1.0,Alone,No,,,"Yes, I feel perfectly safe",Yes
23,Male,14.0,Ethiopia,3.0,3.0,Alone,,,,,
24,Male,14.0,Eritrea,11.0,11.0,Alone,Yes,United Kingdom,"No, I didn't apply","Yes, I feel safe",Yes
25,Male,14.0,Ethiopia,12.0,11.0,With friends,No,,,"No, I don't feel safe",Yes
26,Male,15.0,Eritrea,12.0,12.0,With friends,No,,,"No, I don't feel safe at all",Yes
27,Male,15.0,Tajikistan,2.0,2.0,Alone,,,,"No, I don't feel safe",Yes
28,Male,15.0,Eritrea,5.0,4.0,Alone,No,,,"No, I don't feel safe",Yes
29,Male,15.0,Ethiopia (Oromo),12.0,11.0,With friends,No,,,"No, I don't feel safe at all",Yes
30,Male,15.0,Eritrea,8.0,4.0,Alone,Yes,United Kingdom,"No, I didn't apply","No, I don't feel safe at all",Yes
31,Male,15.0,Ethiopia,8.0,6.0,Alone,No,,,"No, I don't feel safe at all",Yes
32,Male,16.0,Eritrea,5.0,5.0,With friends,No,,,"Yes, I feel perfectly safe",Yes
33,Male,16.0,Eritrea,4.0,3.0,Alone,No,,,"No, I don't feel safe at all",Yes
34,Male,16.0,Afghanistan,24.0,11.0,Alone,No,,,"No, I don't feel safe at all",Yes
35,Male,16.0,Eritrea,4.0,3.0,Alone,Yes,United Kingdom,"No, I didn't apply","No, I don't feel safe at all",Yes
36,Male,16.0,Eritrea,8.0,7.0,Alone,No,,,"No, I don't feel safe",Yes
37,Male,16.0,Eritrea,4.0,2.0,Alone,Yes,,"No, I didn't apply","No, I don't feel safe",Yes
38,Male,16.0,Eritrea,10.0,9.0,Alone,No,,,"No, I don't feel safe at all",Yes
39,Male,16.0,Eritrea,4.0,2.0,Alone,Yes,United Kingdom,"No, I didn't apply","No, I don't feel safe at all",Yes
40,Male,16.0,,18.0,18.0,Alone,Yes,Denmark Germany,"No, I didn't apply","No, I don't feel safe at all",Yes
41,Male,16.0,Eritrea,5.0,3.0,With friends,No,,,"No, I don't feel safe at all",Yes
42,Male,16.0,Eritrea,11.0,10.0,Alone,Yes,United Kingdom,"No, I didn't apply","No, I don't feel safe at all",Yes
43,Male,16.0,Eritrea,4.0,3.0,Alone,Yes,United Kingdom,"No, I didn't apply","No, I don't feel safe at all",Yes
44,Male,16.0,Eritrea,4.0,2.0,With friends,No,,,"No, I don't feel safe at all",Yes
45,Male,16.0,Ethiopia,4.0,2.0,With friends,No,,,"No, I don't feel safe at all",Yes
46,Male,16.0,Ethiopia,6.0,5.0,Alone,No,,,"No, I don't feel safe at all",Yes
47,Male,16.0,Sudan,5.0,2.0,Alone,No,,,"No, I don't feel safe",Yes
48,Male,16.0,Sudan,4.0,4.0,Alone,No,,,"No, I don't feel safe",Yes
49,Male,16.0,Eritrea,6.0,4.0,Alone,Yes,France,"No, I didn't apply","No, I don't feel safe",Yes
50,Female,16.0,Eritrea,9.0,9.0,Alone,No,,,"No, I don't feel safe",Yes
51,Male,16.0,Eritrea,8.0,7.0,Alone,No,,,"No, I don't feel safe",Yes
52,Male,16.0,Eritrea,8.0,5.0,Alone,Yes,United Kingdom,"Yes, I applied but did not receive any result","No, I don't feel safe at all",Yes
53,Male,16.0,Eritrea,2.0,,Alone,No,,,"No, I don't feel safe",Yes
54,Male,16.0,Eritrea,7.0,4.0,Alone,No,,,So-so,Yes
55,Male,16.0,Eritrea,6.0,18.0,Alone,No,,,"No, I don't feel safe",No
56,Male,16.0,Ethiopia (Oromo),8.0,8.0,Alone,No,,,"No, I don't feel safe at all",Yes
57,Male,16.0,Eritrea,7.0,7.0,Alone,Don't know,,,So-so,Yes
58,Male,16.0,Eritrea,5.0,4.0,Alone,No,,,"No, I don't feel safe at all",Yes
59,Male,16.0,Ethiopia (Oromo),1.0,8.0,With friends,No,,,"Yes, I feel safe",Yes
60,Male,16.0,Eritrea,13.0,13.0,With friends,Yes,United Kingdom,"No, I didn't apply","No, I don't feel safe at all",Yes
61,Male,16.0,Ethiopia (Oromo),6.0,6.0,With friends,Yes,United Kingdom,"No, I didn't apply","No, I don't feel safe at all",Yes
62,Male,16.0,Sudan,4.0,2.0,Alone,Yes,United Kingdom,I applied but my application was refused,"No, I don't feel safe",Yes
63,Male,16.0,Eritrea,8.0,6.0,With friends,Yes,Norway United Kingdom,"No, I didn't apply","No, I don't feel safe at all",Yes
64,Male,16.0,Eritrea,8.0,5.0,With friends,Yes,Norway United Kingdom,"No, I didn't apply","No, I don't feel safe at all",Yes
65,Male,16.0,Eritrea,5.0,4.0,With friends,No,,,"No, I don't feel safe at all",Yes
66,Male,17.0,Eritrea,,2.0,Alone,No,,,"No, I don't feel safe at all",No
67,Male,17.0,Afghanistan,2.0,2.0,Alone,No,,,"No, I don't feel safe at all",No
68,Male,17.0,Eritrea,8.0,8.0,With friends,Yes,United Kingdom,"Yes, I applied but did not receive any result","No, I don't feel safe at all",Yes
69,Male,17.0,Eritrea,15.0,11.0,Alone,No,,,"No, I don't feel safe at all",Yes
70,Male,17.0,Eritrea,9.0,4.0,Alone,Yes,United Kingdom,"No, I didn't apply","No, I don't feel safe",Yes
71,Male,17.0,Eritrea,8.0,7.0,Alone,Yes,United Kingdom,"No, I didn't apply","No, I don't feel safe",Yes
72,Male,17.0,Eritrea,9.0,4.0,Alone,Yes,United Kingdom,"No, I didn't apply","No, I don't feel safe at all",Yes
73,Male,17.0,Ethiopia,14.0,2.0,With friends,No,,,"No, I don't feel safe at all",Yes
74,Male,17.0,Eritrea,12.0,7.0,With friends,Yes,United Kingdom,"Yes, I applied but did not receive any result","No, I don't feel safe",Yes
75,Male,17.0,Eritrea,8.0,7.0,With friends,Yes,United Kingdom,"Yes, I applied but did not receive any result","No, I don't feel safe at all",Yes
76,Male,17.0,Eritrea,5.0,2.0,With friends,No,,,"No, I don't feel safe at all",Yes
77,Male,17.0,Ethiopia,18.0,18.0,Alone,No,,,"No, I don't feel safe",Yes
78,Male,17.0,Eritrea,1.0,8.0,Alone,No,,,"No, I don't feel safe",Yes
79,Male,17.0,Sudan,12.0,11.0,Alone,No,,,"No, I don't feel safe",Yes
80,Male,17.0,Eritrea,6.0,3.0,Alone,Yes,United Kingdom,"No, I didn't apply","No, I don't feel safe",Yes
81,Male,17.0,Eritrea,9.0,9.0,With family,No,,,So-so,Yes
82,Male,17.0,Eritrea,4.0,3.0,With friends,No,,,"No, I don't feel safe",Yes
83,Male,17.0,Ethiopia,4.0,3.0,With friends,No,,,"Yes, I feel safe",Yes
84,Male,17.0,Sudan,4.0,3.0,Alone,No,,,"No, I don't feel safe",Yes
85,Male,17.0,Eritrea,12.0,6.0,Alone,Yes,Other,"No, I didn't apply","No, I don't feel safe",Yes
86,Male,17.0,Ethiopia,9.0,5.0,Alone,No,,,"No, I don't feel safe at all",Yes
87,Male,17.0,Eritrea,8.0,8.0,Alone,Yes,United Kingdom,"No, I didn't apply","No, I don't feel safe",Yes
88,Male,17.0,Pakistan,2.0,2.0,Alone,No,,,"No, I don't feel safe at all",Yes
89,Male,17.0,Ethiopia (Oromo),5.0,5.0,Alone,Yes,United Kingdom,"No, I didn't apply","No, I don't feel safe",Yes
90,Male,17.0,Sudan,10.0,9.0,Alone,No,,,"No, I don't feel safe",Yes
91,Male,17.0,Eritrea,12.0,8.0,Alone,Yes,United Kingdom,"No, I didn't apply","No, I don't feel safe",Yes
92,Female,17.0,Eritrea,10.0,10.0,With friends,No,,,"No, I don't feel safe at all",Yes
